PPA	0.00000000	623.21975888	1.0
NMNAT	0.00000000	0.00000000	1.0
FMNAT	0.00000000	0.00000000	1.0
METAT	0.00000000	0.00000000	1.0
ADPT	0.00000000	24.83340710	1.0
ACS	0.00000000	0.00000000	1.0
NADS2	0.00154510	0.00169701	1.0
GALU	0.00751703	0.00825604	1.0
PPGPPDP	0.00000000	12.41670355	1.0
UAGP2UAG	0.00688697	0.00756404	1.0
GTPCII2	0.00000000	0.00000000	1.0
NTPP2	0.00000000	12.41670355	1.0
ASNS2	0.00000000	0.00510700	1.0
SADT	0.00310467	0.00340989	1.0
ASNS1	0.00000000	0.00510700	1.0
NTTP8	0.00000000	12.41670355	1.0
NTPP9	0.00000000	12.41670355	1.0
MAN1PT	0.00000000	0.00000000	1.0
GLGC	0.00000000	24.83340710	1.0
G1PCTYT	0.00000000	0.00000000	1.0
UPPRT	0.00000000	0.00000000	1.0
ATPPRT	0.00121667	0.00133629	1.0
GLUPRT	0.00300323	0.69282009	1.0
ANPRT	0.00079766	0.00087608	1.0
BACCL	0.00000000	0.00000000	1.0
ACNMCT	0.00000000	0.00000000	1.0
IPDPTA	0.00000000	0.00000000	1.0
GPAR	0.00000000	24.83340710	1.0
GMPS	0.00000000	0.69062957	1.0
GMPS2	0.00000000	0.67196391	1.0
FACOAL160	0.00000000	0.00000000	1.0
DMATT	0.00000000	-0.00000000	1.0
NAMNPP	0.00000000	12.41670355	1.0
NTPP1	0.00000000	12.41670355	1.0
ARGSS	0.00367500	0.00403629	1.0
FRTT	0.00000000	0.00000000	1.0
DUTPDP	0.00036542	12.41706897	1.0
PANTS	0.00000000	0.00000000	1.0
PACCOAL	0.00000000	0.00000000	1.0
NTPP11	0.00000000	0.00000000	1.0
TYRTRS	0.00000000	0.00000000	1.0
NNAT	0.00154510	0.00169701	1.0
APPAT	0.00000000	0.00000000	1.0
ALATRS	0.00000000	0.00000000	1.0
DHPS2_1	0.00000000	0.00000000	1.0
NNDPR	0.00154510	0.00169701	1.0
NTPP10	0.00000000	0.00000000	1.0
ARGTRS	0.00000000	0.00000000	1.0
ASNTRS	0.00000000	0.00000000	1.0
CYSTRS	0.00000000	0.00000000	1.0
GLNTRS	0.00000000	0.00000000	1.0
GLYTRS	0.00000000	0.00000000	1.0
HISTRS	0.00000000	0.00000000	1.0
ILETRS	0.00000000	0.00000000	1.0
LEUTRS	0.00000000	0.00000000	1.0
LYSTRS	0.00000000	0.00000000	1.0
METTRS	0.00000000	0.00000000	1.0
PHETRS	0.00000000	0.00000000	1.0
PROTRS	0.00000000	0.00000000	1.0
SERTRS	0.00000000	0.00000000	1.0
THRTRS	0.00000000	0.00000000	1.0
TRPTRS	0.00000000	0.00000000	1.0
VALTRS	0.00000000	0.00000000	1.0
PRATPP	0.00121667	0.00133629	1.0
ACGNMCT	0.00000000	0.00000000	1.0
PPNCL3	0.00000000	0.00000000	1.0
PPNCL2	0.00000000	0.00000000	1.0
ADPT2	-0.00000000	-0.00000000	-1.0
ACBIPGT	0.00000000	0.00000000	1.0
ASPTRS	0.00000000	0.00000000	1.0
GLUTRS	0.00000000	0.00000000	1.0
DHNAOT4	0.00000000	0.00000000	1.0
CMS	0.00000000	-0.00000000	1.0
CMIPDCOAL	0.00000000	0.00000000	1.0
TMIPDCOAL	0.00000000	0.00000000	1.0
UDCPDPS	0.00000000	-0.00000000	8.0
IPOHCOAL	0.00000000	0.00000000	1.0
PECGONCOAT	0.00000000	0.00000000	1.0
ADPCOAL	0.00000000	0.00000000	1.0
THISAT	0.00000000	0.00000000	1.0
GGT	0.00000000	0.00000000	2.0
SERTRS2	0.00000000	0.00000000	1.0
6TXAN5MPAML	0.00000000	0.00000000	1.0
HEPDPS	0.00000000	0.00000000	4.0
OCTDPS	0.00000000	0.00000000	5.0
TRNACCAT	0.00000000	0.00000000	3.0
TRNACTPAT	0.00000000	0.00000000	1.0
TRNACTPAT2	0.00000000	0.00000000	1.0
TRNAATPAT	0.00000000	0.00000000	1.0
ORPT	0.01028330	0.00936283	-1.0
F1PGT	0.00000000	0.00000000	1.0
CDGS	0.00161963	0.00177886	1.0
PGLS	0.00004573	0.00005023	1.0
G3PCT	0.00967902	0.01063058	1.0
ALLAS	0.00091796	0.00100820	24.0
ATAS	0.00000000	0.00000000	45.0
PPAna	0.00000000	0.00000000	1.0
PPAKr	0.00000000	0.00000000	1.0
BIOMASS_CELLOBIOSE	0.00389132	0.00427388	0.161830917308754
