model: iCTH665

strain&replicate	cellobiose uptake (mmol/gDW*h)	growth rate (h^-1)	ATPM flux (mmol/gDW*h)
LL1004A	-4.3059	0.4016	15.192509011897897
LL1004B	-4.4702	0.4049	16.284231757762882
LL1004C	-4.3093	0.4014	15.226525815178757
AVM008A	-3.9725	0.3566	14.608289750106787
AVM008B	-4.3776	0.4009	15.760067823381458
AVM008C	-4.4545	0.4278	15.191307782096755
AVM051A	-4.9595	0.3681	21.52107356145328
AVM051B	-4.7033	0.3578	20.03818893042181
AVM051C	-4.712	0.3568	20.146022946826786
AVM003A	-5.0077	0.3929	19.168644175509034
AVM003B	-4.86	0.3893	18.28029500515575
AVM003C	-4.9136	0.4081	17.89539622811206
AVM059A	-4.0469	0.3912	13.69288278250661
AVM059B	-3.931	0.3836	13.147271307181924
AVM059C	-3.7157	0.3848	11.481420487496166
AVM053A	-4.7994	0.3542	20.912241389477813
AVM053B	-4.8531	0.3611	21.021161676286326
AVM053C	-4.7275	0.3243	21.646253479976842
AVM052A	-5.7508	0.4091	23.715365442099124
AVM052B	-5.4947	0.4048	22.09651782195483
AVM052C	-5.338	0.3934	21.460528782502553
AVM060A	-4.8848	0.3768	20.590342618733413
AVM060B	-4.8	0.3709	20.205588315520615
AVM060C	-4.2257	0.2978	19.011229914699175
AVM056A	-5.2798	0.3774	14.390937957986091
AVM056B	-5.1659	0.3877	13.49371395418984
AVM056C	-4.9511	0.381	12.632893645979754
AVM061A	-3.991	0.2437	12.200986434451323
AVM061B	-3.7306	0.2486	10.743078898664775
AVM061C	-3.6527	0.2544	10.169035284876548
