NA_biomass	0.09860244	0.10938620	0.502
PPA	0.00000000	0.00000000	1.0
ADK2	-0.00000000	0.65222681	1.0
NMNAT	0.00000000	9.02424939	1.0
FMNAT	0.00000000	9.02424939	1.0
METAT	0.00000000	-0.00000000	1.0
ADPT	0.00000000	9.02424939	1.0
PPDK	4.15180872	-4.87244067	-1.0
NADS2	0.00364060	0.00403876	1.0
GALU	0.04936632	9.07361571	1.0
PPGPPDP	0.00000000	5.01347189	1.0
UAGP2UAG	0.06470917	0.07178616	1.0
GTPCII2	0.00000000	0.14602345	1.0
NTPP2	0.00000000	9.02424939	1.0
NTPP3	0.00000000	9.02424939	1.0
NTPP4	0.00000000	9.02424939	1.0
ASNS2	0.00000000	1.59424478	1.0
SADT	0.03140058	3.11860749	1.0
ASNS1	0.00000000	1.40100299	1.0
NTPP9	0.00000000	0.00000000	1.0
MAN1PT	0.00000000	0.00000000	1.0
GLGC	0.00000000	0.00000000	1.0
G1PCTYT	0.00000000	0.00000000	1.0
UPPRT	0.00000000	0.66154434	1.0
ATPPRT	0.01073913	0.39639081	1.0
GLUPRT	0.02850465	0.69205240	1.0
ANPRT	0.00491484	0.54207254	1.0
BACCL	0.00000000	0.00000000	1.0
ACNMCT	0.00000000	0.00000000	1.0
IPDPTA	0.00000000	0.00000000	1.0
GPAR	0.00000000	0.65222681	1.0
GMPS	0.00000000	0.61962517	1.0
GMPS2	0.00000000	0.58864391	1.0
FACOAL160	0.00000000	0.00000000	1.0
DMATT	0.00000000	-0.00000000	1.0
NAMNPP	0.00000000	0.00000000	1.0
NTPP1	0.00000000	9.02424939	1.0
NTPP5	0.00000000	9.02424939	1.0
NTPP6	0.00000000	9.02424939	1.0
NTPP7	0.00000000	9.02424939	1.0
NTPP8	0.00000000	9.02424939	1.0
ARGSS	0.02865904	1.18561409	1.0
FRTT	0.00000000	0.00000000	1.0
DUTPDP	0.00000000	9.02424939	1.0
PANTS	0.00000000	1.22969039	1.0
PACCOAL	0.00000000	0.00000000	1.0
NTPP11	0.00000000	0.00000000	1.0
TYRTRS	0.02672991	0.02965325	1.0
NNAT	0.00364060	9.02789000	1.0
APPAT	0.00000000	9.02424939	1.0
ALATRS	0.09188151	0.10193023	1.0
DHPS2_1	0.00000000	0.00000000	1.0
NNDPR	0.00364060	0.00403876	1.0
NTPP10	0.00000000	0.00000000	1.0
ARGTRS	0.02865904	0.03179337	1.0
ASNTRS	0.03833971	0.04253278	1.0
CYSTRS	0.01168248	0.01296015	1.0
GLNTRS	0.02064799	0.02290618	1.0
GLYTRS	0.11949163	0.13255996	1.0
HISTRS	0.01073913	0.01191363	1.0
ILETRS	0.07716643	0.08560582	1.0
LEUTRS	0.07871185	0.08732026	1.0
LYSTRS	0.07361376	0.08166461	1.0
METTRS	0.01971809	0.02187458	1.0
PHETRS	0.02969500	0.03294262	1.0
PROTRS	0.03588235	0.03980666	1.0
SERTRS	0.07043998	0.07814373	1.0
THRTRS	0.05128314	0.05689178	1.0
TRPTRS	0.00491484	0.00545235	1.0
VALTRS	0.07374580	0.08181109	1.0
PRATPP	0.01073913	0.39639081	1.0
ACGNMCT	0.00000000	0.00000000	1.0
PPNCL3	0.00000000	-0.00000000	1.0
PPNCL2	0.00000000	-0.00000000	1.0
ADPT2	-0.00000000	-0.00000000	-1.0
ACBIPGT	0.00000000	0.00000000	1.0
ASPTRS	0.05137141	0.05698970	1.0
GLUTRS	0.06127931	0.06798119	1.0
DHNAOT4	0.00000000	0.00000000	1.0
CMS	0.00000000	-0.00000000	1.0
CMIPDCOAL	0.00000000	0.00000000	1.0
TMIPDCOAL	0.00000000	0.00000000	1.0
UDCPDPS	0.00000000	-0.00000000	8.0
IPOHCOAL	0.00000000	0.00000000	1.0
PECGONCOAT	0.00000000	0.00000000	1.0
ADPCOAL	0.00000000	0.00000000	1.0
THISAT	0.00000000	0.00000000	1.0
rxn44628	0.00000000	0.00000000	1.0
GGT	0.00000000	0.00000000	2.0
SERTRS2	0.00000000	0.00000000	1.0
6TXAN5MPAML	0.00000000	0.00000000	1.0
HEPDPS	0.00000000	0.00000000	4.0
OCTDPS	0.00000000	0.00000000	5.0
TRNACCAT	0.00000000	0.00000000	3.0
TRNACTPAT	0.00000000	0.00000000	1.0
TRNACTPAT2	0.00000000	0.00000000	1.0
TRNAATPAT	0.00000000	0.00000000	1.0
ORPT	0.43372560	0.03022623	-1.0
F1PGT	0.00000000	0.00000000	1.0
CDGS	0.01509474	0.01674559	1.0
PGLS	0.00041535	0.00046077	1.0
G3PCT	0.09007447	0.09992557	1.0
ALLAS	0.00821425	0.00911262	24.0
ATAS	0.02088074	0.02316438	45.0
GRTT	0.00000000	0.00000000	1.0
HXPRT	-0.69248351	-0.02893577	1.0
XPPT	0.00000000	0.60931715	1.0
PPAna	0.00000000	0.00000000	1.0
