FBA results
model: iCTH669

time to solve: 0:00:00.036009
status: optimal
objective value: 12005.49424808

reaction	lb	level	ub
----------------------------------------------------------------------------------
protein_biomass	0.0	0.2072696250000354	1000.0
NA_biomass	0.0	0.207269625	1000.0
lipid_biomass	0.0	0.20726962500000012	1000.0
glyco_biomass	0.0	0.207269625	1000.0
other_biomass	0.0	0.20726962499865034	1000.0
BIOMASS	0.207269625	0.207269625	0.207269625
PPA	0.0	0.0	0.0
ACLS	0.0	0.0	1000.0
PDHam1hi	0.0	0.24919369539276323	1000.0
ECH	0.0	0.0	1000.0
AHEXASE3	0.0	0.0	1000.0
CLBH	0.0	0.0	0.0
PPBNGS	0.0	0.0	1000.0
HMBS	0.0	0.0	1000.0
ATPS	-1000.0	-3.8398075090215515	1000.0
NADK	0.0	0.00025403167088045914	1000.0
ADK1	-1000.0	1.3460312859284482	1000.0
ADK2	-1000.0	1.1368683772161603e-13	1000.0
DPCOAK	0.0	0.0	1000.0
UREA	0.0	0.0	1000.0
NMNAT	-1000.0	-1.1368683772161603e-13	1000.0
HAMR	-1000.0	0.0	1000.0
NDPK2	-1000.0	0.15227311254327297	1000.0
UMPK	-1000.0	0.07434454936833876	1000.0
FMNAT	0.0	0.0	1000.0
METAT	0.0	0.0	1000.0
R00182	-1000.0	0.0	1000.0
BPNT	0.0	0.03313517927818824	1000.0
ADPT	0.0	0.03053421060528914	1000.0
AHCi	0.0	0.0	1000.0
PPDK	0.0	0.0	0.0
PFL	-1000.0	0.0	1000.0
ME2	0.0	2.67615694043654	1000.0
ACALD	0.0	0.0	1000.0
ACALDy	0.0	0.0	1000.0
PTAr	-1000.0	8.018714726528765	1000.0
GLU5K	0.0	0.037864534872971874	1000.0
GLUDy	-1000.0	-2.0318575321882664	1000.0
GLNS	0.0	0.23272953087878853	1000.0
NADS2	0.0	0.003841712207282341	1000.0
ACGS	0.0	0.0	1000.0
ICDHyr	0.0	0.1758290442185505	1000.0
OXSCL	0.0	0.0	1000.0
GALU	-1000.0	0.05209337168628281	1000.0
ACKr	-1000.0	8.018714726528765	1000.0
NDPK1	-1000.0	-6.0199271362781746	1000.0
GK1	-1000.0	4.032867659398266	1000.0
PPGPPDP	0.0	0.0	1000.0
CS	0.0	0.1758290442185505	1000.0
ASPTA	0.0	0.36503724824103123	1000.0
AGT	-1000.0	-0.19146710703765926	1000.0
GLYAT	-1000.0	0.0	1000.0
GLYTA	-1000.0	-0.1914671070376593	1000.0
ALAR	0.0	0.07324071686860033	1000.0
UAG2EMA	0.0	0.0	1000.0
UAGP2UAG	0.0	0.06828378179138449	1000.0
